,Job Name,Size,Media Name,Copy,Total Print Time,Material Width (in),Print Width (in),Esitmated Material Length (in),Material Area (in),Extra for Lead in,Print Length (in),Print Area (in),Cyan:,Magenta:,Yellow:,Black:,Light Magenta:,Light Cyan:,Light Black,Sum of Ink,Ink CC sq ft,Material Type,Post Processing,Print Job Type,Material Waste,Above Waste Allowance
44,Eclipse Logo Final NEED 2  2-6-24_HPW36_LAMI.eps,5727078.0,3M™ IJ180Cv3,1.0,0:06:00,36.0,28.44,45.44448819,1636.00157484,30,15.44448819,439.2412441236,0.051,0.936,0.62,0.001,0.658,0.214,0.113,2.593,0.8499617369,High Performance White,Laminated,Single Print Job,0.7315153904014075,1
45,TP Logo Face 36 in 11-25-24_HPW36_LAMI.eps,5680866.0,3M™ IJ180Cv3,1.0,0:10:00,36.0,35.22,65.69448819,2365.00157484,30,35.69448819,1257.1598740518,0.274,0.439,0.03,0.003,0.114,0.143,0.058,1.061,0.1215240183,High Performance White,Laminated,Single Print Job,0.4684316968639436,1
46,Bommarito PC138 us ic r Loader 10 2 23_HPW36_LAMI.eps,6040914.0,3M™ IJ180Cv3,1.0,0:13:00,36.0,35.11,75.70826772000001,2725.49763792,30,45.70826772,1604.8172796492001,0.5,1.338,1.039,2.182,1.192,0.722,0.498,7.471,0.6703521013,High Performance White,Laminated,Single Print Job,0.41118375693257336,1
47,Nexus Door Vinyl_11.20.24_FIXED2_HPW60_LAMI.eps,5762494.0,3M™ IJ180Cv3,1.0,0:10:00,60.0,25.82,76.30551181,4578.3307085999995,30,46.30551181,1195.6083149342,0.011,0.013,0.026,0.003,0.046,0.032,0.004,0.135,0.0162599518,High Performance White,Laminated,Single Print Job,0.7388549689762793,1
48,St.Albans_Auto of Europe_11.20.24_FIXED2_HPW60_LAMI.eps,6223522.0,3M™ IJ180Cv3,1.0,0:09:00,60.0,55.97,49.94448819,2996.6692914,30,19.94448819,1116.2930039943,0.407,0.354,0.354,1.202,0.863,0.634,0.266,4.08,0.5262941797,High Performance White,Laminated,Single Print Job,0.6274887565344975,1
49,St.Albans_Auto of Europe_11.20.24_HPW60_LAMI.eps,6887898.0,3M™ IJ180Cv3,1.0,0:15:00,60.0,55.97,68.19448819,4091.6692914,30,38.19448819,2137.7455039943,0.815,0.707,0.708,2.404,1.726,1.268,0.532,8.16,0.5496430793,High Performance White,Laminated,Single Print Job,0.4775370755189132,1
50,Smoke House Pre Paid Signs  11-18-2020_BAN38.eps,6382602.0,Generic Banner II,1.0,0:15:00,38.0,36.0,72.0,2736.0,10,62.0,2232.0,3.872,4.97,0.218,2.066,6.693,6.434,6.609,30.862,1.991096774,Banner,Not Laminated,Single Print Job,0.1842105263157895,0
51,Smoke House Pre Paid Signs  11-18-2020_BAN38.eps,6382602.0,Generic Banner II,1.0,0:18:00,38.0,36.0,72.0,2736.0,10,62.0,2232.0,3.872,4.97,0.218,2.066,6.693,6.434,6.609,30.862,1.991096774,Banner,Not Laminated,Single Print Job,0.1842105263157895,0
52,Check Before You Step Decals need 75_INT54.eps,31705106.0,Generic Vinyl II HD,1.0,0:15:00,54.0,51.74,49.84724409,2691.7511808599997,10,39.84724409,2061.6964092166,0.239,0.393,6.897,1.059,1.285,0.617,1.006,11.496,0.8030074291,Intermediate White,Not Laminated,Single Print Job,0.2340687267543432,0
53,Altech  Martin Marietta Lawnwood_Label 11 20 24_HPW60.eps,8816378.0,3M™ IJ180Cv3,1.0,0:10:00,60.0,30.49,40.48582677,2429.1496062,10,30.48582677,929.5128582172999,0.006,0.014,0.011,0.019,0.027,0.015,0.024,0.116,0.01797316355,High Performance White,Not Laminated,Single Print Job,0.6173505098883687,1
