Printer,Print File Name,Date,Total Print Time,Estimated Material Area (in),Estimated Material Lenght,Print Lenght,Print Area,Estimated Percentage of Waste,Material,Ink Consumption cc sq in,MATERIAL FORMULA 1,MATERIAL FORMULA 2
Roland,grand opening banner FINAL.eps,02/27/2024,0:21:57,0,74.03,74.02755906,3111.19761,Can't Estimate Waste,,0.718473167,,
Roland,Grateful and Thankful 3x30 banner 5-23-22_BAN38.eps,04/03/2024,1:18:57,14326,377.00,362.0023622,13249.28646,0.0751637973,"Banner 38""",1.643883848,"Banner 38""",
Roland,Greater St Louis Book Fair 2024 & Intergated & KUMC - Decal May 18 - 4-15-24_INT30.eps,04/16/2024,0:19:01,1870,62.32,47.31929134,1222.402606,0.3461614747,"Intermediate White 30""",0.2687036155,"Intermediate White 30""",
Roland,Greater St Louis Book Fair 2024 A) Banner_BAN38.eps,04/23/2024,0:13:59,3383,89.03,74.02755906,1926.756665,0.4304671126,"Banner 38""",0.3927428999,"Banner 38""",
Roland,Greater St Louis Book Fair Box Truck 10 10 24_HPW60.eps,10/14/2024,1:15:02,15394,256.57,226.5692913,12499.04284,0.1880658065,"High Performance White 60""",0.317031636,"High Performance White 60""",
Roland,Greater St. Louis Book Fair Signs 4 24 24_RUB36.eps,04/24/2024,0:05:55,1420,39.46,24.45826772,698.0717,0.5085724316,"Roll-up Banner 36""",0.6149282373,"Roll-up Banner 36""",
Roland,Ground post sign_HPW54.eps,05/14/2024,0:17:02,4972,92.07,62.06929134,3004.324758,0.3957198665,"High Performance White 54""",0.6857474361,"High Performance White 54""",
Roland,GYM Sponsor 2024 new 4x8   6-12-24_BAN54.eps,06/18/2024,0:24:03,6103,113.01,98.01377953,4902.03956,0.1967483014,"Banner 54""",1.628021133,"Banner 54""",
Roland,H car carbon fiber final_HPW54.eps,08/30/2024,0:22:01,4943,91.54,61.54173228,2880.492277,0.4172881783,"High Performance White 54""",1.565682379,"High Performance White 54""",
Roland,Handicap Fine Chase_RFV48.eps,03/07/2024,0:15:56,2691,56.07,26.06929134,665.8445967,0.7525960807,Reflective Vinyl,0.3391061535,Reflective Vinyl,Reflective Vinyl
Roland,Handicap Fine Chase2_RFV48.eps,03/07/2024,0:06:01,1724,35.92,5.916535433,140.0238955,0.9187793462,Reflective Vinyl,0.3177743331,Reflective Vinyl,Reflective Vinyl
Roland,Hard Hat Decals 6-28-24_HPW36.eps,06/28/2024,0:07:01,1941,53.92,23.91653543,819.1413386,0.5779787056,"High Performance White 36""",0.3823515983,"High Performance White 36""",
Roland,Harlan Chevy Suburban contracting Masonry 10 8 24_HPW36.eps,10/10/2024,0:13:58,3638,101.06,41.05590551,1245.917422,0.6575280078,"High Performance White 36""",0.6144099009,"High Performance White 36""",
Roland,Heiland banner.eps_BAN54,02/26/2024,0:28:02,9367,173.47,158.4720472,5704.993701,0.3909795084,"Banner 54""",0.5473268094,"Banner 54""",
Roland,Hesse LOGO Final 5in NEW_HPW36.eps,08/28/2024,0:03:56,1304,36.22,6.222047244,38.71387191,0.9703113045,"High Performance White 36""",0.7364801968,"High Performance White 36""",
Roland,Higgins Strong Decals 1-1.5-2 9-16-24_v2_INT30.pdf,09/16/2024,0:20:56,2395,79.85,64.84724409,1402.308888,0.4145868133,"Intermediate White 30""",0.3817932015,"Intermediate White 30""",
Roland,HOCKEY Banner 34x120_BAN38.eps,09/18/2024,0:23:57,5207,137.01,122.0137795,4167.106829,0.1996373911,"Banner 38""",0.8150806157,"Banner 38""",
Roland,Home Plate Decal 8-1-24_HTV54.eps,08/06/2024,0:05:58,2336,43.26,13.26377953,175.9278474,0.9246962902,High Tack Vinyle,0.7489433991,High Tack Vinyle,
Roland,HOTWORX_HPW30.eps,04/02/2024,0:16:59,2889,96.31,66.30551181,1728.537705,0.4017172807,"High Performance White 30""",0.5798195765,"High Performance White 30""",
Roland,HPW24_Propane.eps,02/27/2024,0:05:03,1136,47.32,17.31929134,261.9508722,0.7693410158,"High Performance White 24""",0.5442241853,"High Performance White 24""",
Roland,HUNT GALLERY POSTER RG-01 FINAL RUSH 1-24-24.eps,01/24/2024,0:06:58,0,30.00,30,900,Can't Estimate Waste,,0.57904,,
Roland,Hyundai Now Open Banner 5-21-24_BAN54.eps,05/22/2024,0:29:04,7726,143.08,128.0830709,4868.921617,0.3698400895,"Banner 54""",1.331777447,"Banner 54""",
Roland,Ilos Van logos 4 11 24_& Enterprise Key Drop Box Signs HPW36.eps,04/16/2024,0:18:02,2940,81.67,51.66653543,1574.385109,0.4644940005,"High Performance White 36""",0.224636271,"High Performance White 36""",
Roland,Ilos Van logos 4 11 24_part2_HPW36.eps,04/29/2024,0:06:02,1750,48.60,18.59724409,533.8946623,0.6948302818,"High Performance White 36""",0.3379543059,"High Performance White 36""",
