Event,Nick Name,Job Name,Size,Page Size_X[mm],Page Size_Y[mm],Media Name,Copy,Print Area_X[mm],Print Area_Y[mm],Ink Consumption[cc],Ink Name,Input Time,RIP Start Time,RIP End Time,Print Start Time,Print End Time,Details,Total Print Time,Material Width,Width (in),Length (in),Area (in),Extra for Lead in,Actual Length area,Actual Area,Cyan:,Magenta:,Yellow:,Black:,Light Magenta:,Light Cyan:,Light Black,Sum of Ink,Ink CC sq ft
New Job(A),XR-640#2,Sybergs twisted tree Host Seating Sign.eps,243626238,1142.29,354.89,3M™ IJ180Cv3,1,1142.29,366.89,,,2024/02/07 13:51:04,,,,,,0:00:00,54.00,44.97,44.44,0,30,14.44448819,649.5982053,,,,,,,,0,0
Print End,XR-640#2,1) McCarthy Dumpsters x 6 - SIDES  3-2-24_HPW54.eps,6293426,996.59,3656.18,3M™ IJ180Cv3,1,1151.795,3668.18,0.001:22.647:11.478:0.001:5.739:0.134:0.822,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,,,2/7/2024,2024/02/07 13:48:04,,0:38:01,54.00,39.24,174.42,9418.492913,30,144.4165354,5666.302167,0.001,22.647,11.478,0.001,5.739,0.134,0.822,40.822,1.03742579
Print End,XR-640#2,1) McCarthy Dumpsters x 6 - SIDES  3-2-24_HPW54.eps,6293426,996.59,3656.18,3M™ IJ180Cv3,1,1151.795,3668.18,0.001:22.647:11.478:0.001:5.739:0.134:0.822,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,,,2/7/2024,2024/02/07 12:58:01,,0:38:01,54.00,39.24,174.42,9418.492913,30,144.4165354,5666.302167,0.001,22.647,11.478,0.001,5.739,0.134,0.822,40.822,1.03742579
RIP End,XR-640#2,2) McCarthy Dumpsters x 1 - SIDES  3-2-24_HPW54.eps,6638254,1012.47,2210.5,3M™ IJ180Cv3,1,1159.735,2222.5,0.000:8.163:4.138:0.003:2.068:0.048:0.286,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,2024/02/07 11:34:05,2024/02/07 11:53:00,,,,0:00:00,54.00,39.86,117.50,6345,30,87.5,3487.839567,0.000,8.163,4.138,0.003,2.068,0.048,0.286,14.706,0.607156367
RIP End,XR-640#2,4) McCarthy Dumpsters x 1 - SIDES  3-2-24.eps_HPW54,6282654,1168.39,2210.5,3M™ IJ180Cv3,1,1168.39,2222.5,0.000:15.596:7.904:0.003:3.950:0.091:0.564,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,2024/02/07 11:34:05,2024/02/07 11:48:04,,,,0:00:00,54.00,46.00,117.50,6345,30,87.5,4024.965551,0.000,15.596,7.904,0.003,3.950,0.091,0.564,28.108,1.005611588
RIP End,XR-640#2,3) McCarthy Dumpsters x 1 - SIDES  3-2-24.eps_HPW54,6759518,1196.97,3687.93,3M™ IJ180Cv3,1,1196.97,3699.93,0.000:17.263:8.753:0.001:4.377:0.102:0.627,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,2024/02/07 11:34:04,2024/02/07 11:43:01,,,,0:00:00,54.00,47.12,175.67,9485.992913,30,145.6665354,6864.506808,0.000,17.263,8.753,0.001,4.377,0.102,0.627,31.123,0.652881864
New Job(A),XR-640#2,2) McCarthy Dumpsters x 1 - SIDES  3-2-24_HPW54.eps,6638254,1012.47,2210.5,3M™ IJ180Cv3,1,1012.47,2222.5,,,2024/02/07 11:34:01,,,,,,0:00:00,54.00,39.86,117.50,0,30,87.5,3487.839567,,,,,,,,0,0
Print End,XR-640#2,1) McCarthy Dumpsters x 6 - SIDES  3-2-24_HPW54.eps,6293426,996.59,3656.18,3M™ IJ180Cv3,1,1151.795,3668.18,0.001:22.647:11.478:0.001:5.739:0.134:0.822,Cyan:Magenta:Yellow:Black:Light Magenta:Light Cyan:Light Black,,,,2/7/2024,2024/02/07 12:11:03,,0:38:00,54.00,39.24,174.42,9418.492913,30,144.4165354,5666.302167,0.001,22.647,11.478,0.001,5.739,0.134,0.822,40.822,1.03742579
New Job(A),XR-640#2,4) McCarthy Dumpsters x 1 - SIDES  3-2-24.eps_HPW54,6282654,1168.39,2210.5,3M™ IJ180Cv3,1,1168.39,2222.5,,,2024/02/07 11:15:05,,,,,,0:00:00,54.00,46.00,117.50,0,30,87.5,4024.965551,,,,,,,,0,0
New Job(A),XR-640#2,3) McCarthy Dumpsters x 1 - SIDES  3-2-24.eps_HPW54,6759518,1196.97,3687.93,3M™ IJ180Cv3,1,1196.97,3699.93,,,2024/02/07 11:15:04,,,,,,0:00:00,54.00,47.12,175.67,0,30,145.6665354,6864.506808,,,,,,,,0,0
New Job(A),XR-640#2,2) McCarthy Dumpsters x 1 - SIDES  3-2-24_HPW54.eps,6689582,789.51,3098.44,3M™ IJ180Cv3,1,789.51,3110.44,,,2024/02/07 11:15:03,,,,,,0:00:00,54.00,31.08,152.46,0,30,122.4582677,3806.379014,,,,,,,,0,0
RIP Canceled,XR-640#2,3) McCarthy Dumpsters x 1 - SIDES  3-2-24.eps_HPW54,6817822,1196.97,3687.93,3M™ IJ180Cv3,1,1251.985,3699.93,,,,2024/02/07 11:13:01,2024/02/07 11:14:02,,,,0:00:00,54.00,47.12,175.67,0,30,145.6665354,6864.506808,,,,,,,,0,0
