,Unnamed: 0,REF,Review_Date,Cocoa_Percent,Rating,Company Latitude,Company Logitude,Company_Location_Count,Bean Origin Longitude,Bean Origin Latitude,Bean_Origin_Count,clusters,cluster
1276,1276,93,2006,0.8,4.0,46.6,2.21,144,-78.1834,-1.8312,1,1,purple
1277,1277,99,2006,0.75,3.0,46.6,2.21,144,-77.7812,21.5218,6,1,purple
1278,1278,99,2006,0.75,3.0,46.6,2.21,144,-66.5897,6.4238,1,1,purple
1279,1279,99,2006,0.75,3.5,46.6,2.21,144,113.9213,-0.7893,1,1,purple
1280,1280,1872,2016,0.77,3.5,55.37,-1.17,95,-78.1834,-1.8312,1,0,pink
1281,1281,1502,2015,0.7,3.5,55.37,-1.17,95,-61.6042,12.1165,1,0,pink
1282,1282,1530,2015,0.74,3.5,55.37,-1.17,95,46.8691,-18.7669,1,0,pink
1283,1283,1688,2015,0.8,2.75,55.37,-1.17,95,-86.2419,15.2,4,0,pink
1284,1284,1223,2014,0.75,2.75,55.37,-1.17,95,-66.5897,6.4238,1,0,pink
1285,1285,1223,2014,0.75,3.0,55.37,-1.17,95,-78.1834,-1.8312,2,0,pink
1286,1286,1223,2014,0.72,3.25,55.37,-1.17,95,46.8691,-18.7669,1,0,pink
1287,1287,1227,2014,0.85,2.75,55.37,-1.17,95,-78.1834,-1.8312,2,0,pink
1288,1288,931,2012,0.73,2.75,41.87,12.57,54,-66.5897,6.4238,21,0,pink
1289,1289,1057,2013,0.75,3.25,-14.24,-51.93,17,-51.9253,-14.235,11,0,pink
1290,1290,1057,2013,0.85,3.5,-14.24,-51.93,17,-51.9253,-14.235,11,0,pink
1291,1291,1069,2013,0.55,2.75,-14.24,-51.93,17,-51.9253,-14.235,11,0,pink
1292,1292,1069,2013,0.8,3.25,-14.24,-51.93,17,-51.9253,-14.235,11,0,pink
1293,1293,935,2012,0.6,3.0,-14.24,-51.93,17,-51.9253,-14.235,11,0,pink
1294,1294,935,2012,0.65,3.25,-14.24,-51.93,17,-51.9253,-14.235,11,0,pink
1295,1295,1796,2016,0.7,2.75,23.63,-102.55,4,-102.5528,23.6345,1,0,pink
1296,1296,1800,2016,0.74,3.0,23.63,-102.55,4,-102.5528,23.6345,1,0,pink
1297,1297,1788,2016,0.7,3.0,37.09,-95.71,738,-75.0152,-9.189967,1,0,pink
1298,1298,1708,2015,0.75,2.75,37.09,-95.71,738,23.656,-4.0383,2,0,pink
1299,1299,959,2012,0.75,3.25,37.09,-95.71,738,46.8691,-18.7669,56,0,pink
1300,1300,785,2011,0.85,3.5,37.09,-95.71,738,-70.1627,18.7357,11,0,pink
1301,1301,470,2010,0.7,2.75,15.78,-90.23,10,-90.2308,15.7835,1,1,purple
1302,1302,1558,2015,0.7,2.5,37.09,-95.71,738,-75.0152,-9.189967,1,0,pink
1303,1303,1562,2015,0.8,3.25,37.09,-95.71,738,-75.0152,-9.189967,1,0,pink
1304,1304,1562,2015,0.73,3.5,37.09,-95.71,738,-75.0152,-9.189967,1,0,pink
1305,1305,1872,2016,0.75,3.25,46.6,2.21,144,-75.0152,-9.189967,8,0,pink
1306,1306,494,2010,0.75,3.25,-1.83,-78.18,54,-78.1834,-1.8312,7,1,purple
1307,1307,439,2009,0.75,2.5,-1.83,-78.18,54,-78.1834,-1.8312,1,1,purple
1308,1308,147,2007,0.75,3.0,-1.83,-78.18,54,-78.1834,-1.8312,10,1,purple
1309,1309,147,2007,0.67,3.5,-1.83,-78.18,54,-78.1834,-1.8312,2,1,purple
1310,1310,170,2007,0.75,3.75,-1.83,-78.18,54,-78.1834,-1.8312,6,1,purple
1311,1311,1860,2016,0.75,3.75,37.09,-95.71,738,-78.1834,-1.8312,1,0,pink
1312,1312,1466,2015,0.85,3.5,37.09,-95.71,738,-78.1834,-1.8312,2,0,pink
1313,1313,1089,2013,0.75,3.75,37.09,-95.71,738,-88.4977,17.1899,1,0,pink
1314,1314,1181,2013,0.75,3.0,37.09,-95.71,738,-75.0152,-9.189967,2,0,pink
1315,1315,891,2012,0.75,4.0,37.09,-95.71,738,46.8691,-18.7669,19,0,pink
1316,1316,967,2012,0.75,3.25,37.09,-95.71,738,-78.1834,-1.8312,1,0,pink
1317,1317,979,2012,0.75,3.5,37.09,-95.71,738,-61.2225,10.6918,6,0,pink
1318,1318,745,2011,0.75,3.5,37.09,-95.71,738,-84.0739,9.7489,11,0,pink
1319,1319,1844,2016,0.7,3.25,35.91,127.77,5,-84.0739,9.7489,1,0,pink
1320,1320,1844,2016,0.7,3.25,35.91,127.77,5,-84.0739,9.7489,1,0,pink
